priority_rank,word,url,candidate_pool,BD_IMPRESSIONS,BD_CLICKS,BD_CTR,BD_POSITION,tier,tier_score,migration_class,static_legacy_status,confidence,source_completeness_score,source_fields_present,BD_RELEVANT_QUERY_IMPRESSIONS,GLOBAL_CONTEXT_IMPRESSIONS,priority_score,reason,proposed_action
11,saturday,https://ovidhan.net/word/saturday.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,83.0,A,7,REVIEW,LEGACY,MEDIUM CONFIDENCE,4,bangla;definition;part_of_speech;example,1,0,46.311,Bangladesh demand + near-ranking opportunity + useful source,CONTENT REVIEW
12,stroll,https://ovidhan.net/word/stroll.html,POOL A — OBSERVED BANGLADESH DEMAND,3,0,0.0,24.67,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,3,4,46.009,Bangladesh demand + near-ranking opportunity + useful source,STATIC-UPGRADE PRIORITY
13,mayhem,https://ovidhan.net/word/mayhem.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,11.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,15,45.929,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
14,quirky,https://ovidhan.net/word/quirky.html,POOL A — OBSERVED BANGLADESH DEMAND,3,0,0.0,21.33,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,3,3,45.831,Bangladesh demand + near-ranking opportunity + useful source,STATIC-UPGRADE PRIORITY
15,mercantile,https://ovidhan.net/word/mercantile.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,11.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,4,44.998,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
16,february,https://ovidhan.net/word/february.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,55.0,A,7,REVIEW,LEGACY,MEDIUM CONFIDENCE,4,bangla;definition;part_of_speech;example,0,0,44.578,Bangladesh demand + near-ranking opportunity + useful source,CONTENT REVIEW
17,on,https://ovidhan.net/word/on.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,74.0,A,7,REVIEW,LEGACY,MEDIUM CONFIDENCE,4,bangla;definition;part_of_speech;example,0,0,44.578,Bangladesh demand + near-ranking opportunity + useful source,CONTENT REVIEW
18,oversee,https://ovidhan.net/word/oversee.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,12.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,43.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
19,pose,https://ovidhan.net/word/pose.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,19.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,43.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
20,procure,https://ovidhan.net/word/procure.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,19.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,43.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
21,proprietary,https://ovidhan.net/word/proprietary.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,11.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,43.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
22,weird,https://ovidhan.net/word/weird.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,16.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,43.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
23,rod,https://ovidhan.net/word/rod.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,16.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,2,42.857,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
24,legible,https://ovidhan.net/word/legible.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,24.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,2,7,42.646,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
25,tram,https://ovidhan.net/word/tram.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,42.5,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,2,4,42.27,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
26,labour,https://ovidhan.net/word/labour.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,19.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,41.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
27,loophole,https://ovidhan.net/word/loophole.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,11.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,41.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
28,tire,https://ovidhan.net/word/tire.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,19.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,41.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
29,magenta,https://ovidhan.net/word/magenta.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,42.5,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,2,2,41.861,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
30,terrible,https://ovidhan.net/word/terrible.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,50.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,3,41.077,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
31,lean,https://ovidhan.net/word/lean.html,POOL A — OBSERVED BANGLADESH DEMAND,3,0,0.0,51.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,3,4,41.009,Bangladesh demand + near-ranking opportunity + useful source,STATIC-UPGRADE PRIORITY
32,sack,https://ovidhan.net/word/sack.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,37.5,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,2,40.847,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
33,sink,https://ovidhan.net/word/sink.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,47.5,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,2,39.114,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
34,mirth,https://ovidhan.net/word/mirth.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,24.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,9,37.553,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
35,mutiny,https://ovidhan.net/word/mutiny.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,38.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,5,37.144,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
36,quilt,https://ovidhan.net/word/quilt.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,58.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,2,3,37.091,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
37,sanguine,https://ovidhan.net/word/sanguine.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,81.5,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,2,3,37.091,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
38,purge,https://ovidhan.net/word/purge.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,42.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,4,36.998,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
39,sturdy,https://ovidhan.net/word/sturdy.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,31.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,4,36.998,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
40,militant,https://ovidhan.net/word/militant.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,27.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,3,36.82,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
41,musk,https://ovidhan.net/word/musk.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,34.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,3,36.82,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
42,rudimentary,https://ovidhan.net/word/rudimentary.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,32.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,3,36.82,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
43,terrific,https://ovidhan.net/word/terrific.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,26.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,3,36.82,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
44,tunnel,https://ovidhan.net/word/tunnel.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,39.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,3,36.82,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
45,constellation,https://ovidhan.net/word/constellation.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,27.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,2,36.59,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
46,prologue,https://ovidhan.net/word/prologue.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,31.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,2,36.59,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
47,quake,https://ovidhan.net/word/quake.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,37.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,2,36.59,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
48,spectacular,https://ovidhan.net/word/spectacular.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,30.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,2,36.59,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
49,wallet,https://ovidhan.net/word/wallet.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,53.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,4,36.256,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
50,stalk,https://ovidhan.net/word/stalk.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,53.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,3,36.077,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
51,economical,https://ovidhan.net/word/economical.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,30.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,35.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
52,integrity,https://ovidhan.net/word/integrity.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,48.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,35.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
53,monumental,https://ovidhan.net/word/monumental.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,26.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,35.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
54,nun,https://ovidhan.net/word/nun.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,33.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,35.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
55,pedestrian,https://ovidhan.net/word/pedestrian.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,25.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,35.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
56,shout,https://ovidhan.net/word/shout.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,49.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,35.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
57,swing,https://ovidhan.net/word/swing.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,45.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,35.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
58,sympathy,https://ovidhan.net/word/sympathy.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,38.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,35.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
59,torch,https://ovidhan.net/word/torch.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,34.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,35.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
60,wagon,https://ovidhan.net/word/wagon.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,36.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,35.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
61,subside,https://ovidhan.net/word/subside.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,42.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,6,35.535,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
62,quarry,https://ovidhan.net/word/quarry.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,37.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,3,35.087,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
63,vocabulary,https://ovidhan.net/word/vocabulary.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,52.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,7,2,35.056,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
64,nevertheless,https://ovidhan.net/word/nevertheless.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,47.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,2,34.857,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
65,spine,https://ovidhan.net/word/spine.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,32.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,2,34.857,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
66,stab,https://ovidhan.net/word/stab.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,46.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,2,34.857,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
67,ultimatum,https://ovidhan.net/word/ultimatum.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,50.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,2,34.857,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
68,quantum,https://ovidhan.net/word/quantum.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,68.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,6,34.792,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
69,moss,https://ovidhan.net/word/moss.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,57.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,5,34.669,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
70,sneeze,https://ovidhan.net/word/sneeze.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,56.5,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,4,34.523,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
71,vanish,https://ovidhan.net/word/vanish.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,70.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,4,34.523,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
72,equable,https://ovidhan.net/word/equable.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,39.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,33.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
73,hallmark,https://ovidhan.net/word/hallmark.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,42.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,33.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
74,sad,https://ovidhan.net/word/sad.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,45.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,33.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
75,slant,https://ovidhan.net/word/slant.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,39.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,33.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
76,slobber,https://ovidhan.net/word/slobber.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,23.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,33.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
77,suppose,https://ovidhan.net/word/suppose.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,36.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,33.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
78,tear,https://ovidhan.net/word/tear.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,46.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,33.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
79,deficit,https://ovidhan.net/word/deficit.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,69.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,30.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
80,stroke,https://ovidhan.net/word/stroke.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,54.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,30.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
81,telescope,https://ovidhan.net/word/telescope.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,58.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,30.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
82,shy,https://ovidhan.net/word/shy.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,87.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,4,30.266,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
83,manipulate,https://ovidhan.net/word/manipulate.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,53.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,3,30.087,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
84,friction,https://ovidhan.net/word/friction.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,51.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,2,29.857,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
85,mess,https://ovidhan.net/word/mess.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,62.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,2,29.857,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
86,offset,https://ovidhan.net/word/offset.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,92.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,2,29.857,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
87,rant,https://ovidhan.net/word/rant.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,58.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,2,29.857,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
88,reckon,https://ovidhan.net/word/reckon.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,76.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,2,29.857,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
89,velocity,https://ovidhan.net/word/velocity.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,70.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,2,29.857,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
90,crunch,https://ovidhan.net/word/crunch.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,78.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,28.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
91,lash,https://ovidhan.net/word/lash.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,83.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,28.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
92,nest,https://ovidhan.net/word/nest.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,74.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,28.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
93,opportune,https://ovidhan.net/word/opportune.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,57.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,28.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
94,phenomenon,https://ovidhan.net/word/phenomenon.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,55.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,28.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
95,reassure,https://ovidhan.net/word/reassure.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,54.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,28.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
96,recital,https://ovidhan.net/word/recital.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,72.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,0,28.978,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
