allowlisted,treatment_id,word,url,path,classification,publish_bangla,publish_definition,publish_part_of_speech,publish_example,publish_synonyms,publish_antonyms,publish_word_family,publish_synonym_values,publish_antonym_values,publish_word_family_values,publish_pronunciation,future_omissions,manifest_frozen
True,T043,shout,https://ovidhan.net/word/shout.html,word/shout.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T044,sympathy,https://ovidhan.net/word/sympathy.html,word/sympathy.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T045,torch,https://ovidhan.net/word/torch.html,word/torch.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T046,wagon,https://ovidhan.net/word/wagon.html,word/wagon.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T047,vocabulary,https://ovidhan.net/word/vocabulary.html,word/vocabulary.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T048,nevertheless,https://ovidhan.net/word/nevertheless.html,word/nevertheless.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T049,spine,https://ovidhan.net/word/spine.html,word/spine.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T050,stab,https://ovidhan.net/word/stab.html,word/stab.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T051,ultimatum,https://ovidhan.net/word/ultimatum.html,word/ultimatum.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T052,quantum,https://ovidhan.net/word/quantum.html,word/quantum.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T053,moss,https://ovidhan.net/word/moss.html,word/moss.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T054,sneeze,https://ovidhan.net/word/sneeze.html,word/sneeze.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T055,sad,https://ovidhan.net/word/sad.html,word/sad.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T056,slant,https://ovidhan.net/word/slant.html,word/slant.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T057,suppose,https://ovidhan.net/word/suppose.html,word/suppose.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T058,deficit,https://ovidhan.net/word/deficit.html,word/deficit.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T059,telescope,https://ovidhan.net/word/telescope.html,word/telescope.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T060,shy,https://ovidhan.net/word/shy.html,word/shy.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T061,friction,https://ovidhan.net/word/friction.html,word/friction.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T062,reckon,https://ovidhan.net/word/reckon.html,word/reckon.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T063,velocity,https://ovidhan.net/word/velocity.html,word/velocity.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T064,lash,https://ovidhan.net/word/lash.html,word/lash.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T065,nest,https://ovidhan.net/word/nest.html,word/nest.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T066,opportune,https://ovidhan.net/word/opportune.html,word/opportune.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T067,phenomenon,https://ovidhan.net/word/phenomenon.html,word/phenomenon.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T068,reassure,https://ovidhan.net/word/reassure.html,word/reassure.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T069,recital,https://ovidhan.net/word/recital.html,word/recital.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T070,wash,https://ovidhan.net/word/wash.html,word/wash.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T071,wipe,https://ovidhan.net/word/wipe.html,word/wipe.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T072,withdrawal,https://ovidhan.net/word/withdrawal.html,word/withdrawal.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
