word,url,protection_status,reason,BD_IMPRESSIONS,BD_CLICKS
abrasive,https://ovidhan.net/word/abrasive.html,AUTO_PROTECTED,Batch 1,0,0
abreast,https://ovidhan.net/word/abreast.html,AUTO_PROTECTED,Batch 1,0,0
abridge,https://ovidhan.net/word/abridge.html,AUTO_PROTECTED,Batch 1,0,0
abroad,https://ovidhan.net/word/abroad.html,AUTO_PROTECTED,Batch 1,0,0
abrupt,https://ovidhan.net/word/abrupt.html,AUTO_PROTECTED,Batch 1,0,0
abscess,https://ovidhan.net/word/abscess.html,AUTO_PROTECTED,Batch 1,0,0
abscond,https://ovidhan.net/word/abscond.html,AUTO_PROTECTED,Batch 1,0,0
absence,https://ovidhan.net/word/absence.html,AUTO_PROTECTED,Batch 1,0,0
absent,https://ovidhan.net/word/absent.html,AUTO_PROTECTED,Batch 1,0,0
absolute,https://ovidhan.net/word/absolute.html,AUTO_PROTECTED,Batch 1,0,0
absolutely,https://ovidhan.net/word/absolutely.html,AUTO_PROTECTED,Batch 1,0,0
absolution,https://ovidhan.net/word/absolution.html,AUTO_PROTECTED,Batch 1,0,0
absolutism,https://ovidhan.net/word/absolutism.html,AUTO_PROTECTED,Batch 1,0,0
absolve,https://ovidhan.net/word/absolve.html,AUTO_PROTECTED,Batch 1,0,0
absorb,https://ovidhan.net/word/absorb.html,AUTO_PROTECTED,Batch 1,0,0
absorbent,https://ovidhan.net/word/absorbent.html,AUTO_PROTECTED,Batch 1,0,0
abstain,https://ovidhan.net/word/abstain.html,AUTO_PROTECTED,Batch 1,0,0
abstinence,https://ovidhan.net/word/abstinence.html,AUTO_PROTECTED,Batch 1,0,0
abstract,https://ovidhan.net/word/abstract.html,AUTO_PROTECTED,Batch 1,0,0
abstruse,https://ovidhan.net/word/abstruse.html,AUTO_PROTECTED,Batch 1,0,0
absurd,https://ovidhan.net/word/absurd.html,AUTO_PROTECTED,Batch 1,0,0
abundance,https://ovidhan.net/word/abundance.html,AUTO_PROTECTED,Batch 1,0,0
abuse,https://ovidhan.net/word/abuse.html,AUTO_PROTECTED,Batch 1,0,0
abysmal,https://ovidhan.net/word/abysmal.html,AUTO_PROTECTED,Batch 1,0,0
ac,https://ovidhan.net/word/ac.html,AUTO_PROTECTED,Batch 1,0,0
academic,https://ovidhan.net/word/academic.html,AUTO_PROTECTED,Batch 1,0,0
academy,https://ovidhan.net/word/academy.html,AUTO_PROTECTED,Batch 1,0,0
acc,https://ovidhan.net/word/acc.html,AUTO_PROTECTED,Batch 1,0,0
accede,https://ovidhan.net/word/accede.html,AUTO_PROTECTED,Batch 1,0,0
accelerate,https://ovidhan.net/word/accelerate.html,AUTO_PROTECTED,Batch 1,0,0
accent,https://ovidhan.net/word/accent.html,AUTO_PROTECTED,Batch 1,0,0
accentuate,https://ovidhan.net/word/accentuate.html,AUTO_PROTECTED,Batch 1,0,0
accept,https://ovidhan.net/word/accept.html,AUTO_PROTECTED,Batch 1,0,0
acceptable,https://ovidhan.net/word/acceptable.html,AUTO_PROTECTED,Batch 1,0,0
acceptance,https://ovidhan.net/word/acceptance.html,AUTO_PROTECTED,Batch 1,0,0
accepted,https://ovidhan.net/word/accepted.html,AUTO_PROTECTED,Batch 1,0,0
access,https://ovidhan.net/word/access.html,AUTO_PROTECTED,Batch 1,0,0
accessibility,https://ovidhan.net/word/accessibility.html,AUTO_PROTECTED,Batch 1,0,0
accessible,https://ovidhan.net/word/accessible.html,AUTO_PROTECTED,Batch 1,0,0
accessories,https://ovidhan.net/word/accessories.html,AUTO_PROTECTED,Batch 1,0,0
accessory,https://ovidhan.net/word/accessory.html,AUTO_PROTECTED,Batch 1,0,0
accident,https://ovidhan.net/word/accident.html,AUTO_PROTECTED,Batch 1,0,0
acclaim,https://ovidhan.net/word/acclaim.html,AUTO_PROTECTED,Batch 1,0,0
acclimate,https://ovidhan.net/word/acclimate.html,AUTO_PROTECTED,Batch 1,0,0
acclimatize,https://ovidhan.net/word/acclimatize.html,AUTO_PROTECTED,Batch 1,0,0
accolade,https://ovidhan.net/word/accolade.html,AUTO_PROTECTED,Batch 1,0,0
accommodate,https://ovidhan.net/word/accommodate.html,AUTO_PROTECTED,Batch 1,0,0
accommodation,https://ovidhan.net/word/accommodation.html,AUTO_PROTECTED,Batch 1,0,0
accompany,https://ovidhan.net/word/accompany.html,AUTO_PROTECTED,Batch 1,0,0
accomplice,https://ovidhan.net/word/accomplice.html,AUTO_PROTECTED,Batch 1,0,0
accomplish,https://ovidhan.net/word/accomplish.html,AUTO_PROTECTED,Batch 1,0,0
accord,https://ovidhan.net/word/accord.html,AUTO_PROTECTED,Batch 1,0,0
accordance,https://ovidhan.net/word/accordance.html,AUTO_PROTECTED,Batch 1,0,0
according,https://ovidhan.net/word/according.html,AUTO_PROTECTED,Batch 1,0,0
accost,https://ovidhan.net/word/accost.html,AUTO_PROTECTED,Batch 1,0,0
account,https://ovidhan.net/word/account.html,AUTO_PROTECTED,Batch 1,0,0
accountable,https://ovidhan.net/word/accountable.html,AUTO_PROTECTED,Batch 1,0,0
accounting,https://ovidhan.net/word/accounting.html,AUTO_PROTECTED,Batch 1,0,0
accounts,https://ovidhan.net/word/accounts.html,AUTO_PROTECTED,Batch 1,0,0
accreditation,https://ovidhan.net/word/accreditation.html,AUTO_PROTECTED,Batch 1,0,0
accredited,https://ovidhan.net/word/accredited.html,AUTO_PROTECTED,Batch 1,0,0
accrete,https://ovidhan.net/word/accrete.html,AUTO_PROTECTED,Batch 1,0,0
accrue,https://ovidhan.net/word/accrue.html,AUTO_PROTECTED,Batch 1,0,0
accumulate,https://ovidhan.net/word/accumulate.html,AUTO_PROTECTED,Batch 1,0,0
accuracy,https://ovidhan.net/word/accuracy.html,AUTO_PROTECTED,Batch 1,0,0
accurate,https://ovidhan.net/word/accurate.html,AUTO_PROTECTED,Batch 1,0,0
accusation,https://ovidhan.net/word/accusation.html,AUTO_PROTECTED,Batch 1,0,0
accuse,https://ovidhan.net/word/accuse.html,AUTO_PROTECTED,Batch 1,0,0
accustom,https://ovidhan.net/word/accustom.html,AUTO_PROTECTED,Batch 1,0,0
achieve,https://ovidhan.net/word/achieve.html,AUTO_PROTECTED,Batch 1,0,0
achieved,https://ovidhan.net/word/achieved.html,AUTO_PROTECTED,Batch 1,0,0
achievement,https://ovidhan.net/word/achievement.html,AUTO_PROTECTED,Batch 1,0,0
acid,https://ovidhan.net/word/acid.html,AUTO_PROTECTED,Batch 1,0,0
acidic,https://ovidhan.net/word/acidic.html,AUTO_PROTECTED,Batch 1,0,0
acknowledge,https://ovidhan.net/word/acknowledge.html,AUTO_PROTECTED,Batch 1,0,0
acoustic,https://ovidhan.net/word/acoustic.html,AUTO_PROTECTED,Batch 1,0,0
acquaint,https://ovidhan.net/word/acquaint.html,AUTO_PROTECTED,Batch 1,0,0
acquaintance,https://ovidhan.net/word/acquaintance.html,AUTO_PROTECTED,Batch 1,0,0
acquire,https://ovidhan.net/word/acquire.html,AUTO_PROTECTED,Batch 1,0,0
acquisition,https://ovidhan.net/word/acquisition.html,AUTO_PROTECTED,Batch 1,0,0
acquit,https://ovidhan.net/word/acquit.html,AUTO_PROTECTED,Batch 1,0,0
acres,https://ovidhan.net/word/acres.html,AUTO_PROTECTED,Batch 1,0,0
acrimony,https://ovidhan.net/word/acrimony.html,AUTO_PROTECTED,Batch 1,0,0
acrobat,https://ovidhan.net/word/acrobat.html,AUTO_PROTECTED,Batch 1,0,0
acronym,https://ovidhan.net/word/acronym.html,AUTO_PROTECTED,Batch 1,0,0
across,https://ovidhan.net/word/across.html,AUTO_PROTECTED,Batch 1,0,0
act,https://ovidhan.net/word/act.html,AUTO_PROTECTED,Batch 1,0,0
acting,https://ovidhan.net/word/acting.html,AUTO_PROTECTED,Batch 1,0,0
action,https://ovidhan.net/word/action.html,AUTO_PROTECTED,Batch 1,0,0
actions,https://ovidhan.net/word/actions.html,AUTO_PROTECTED,Batch 1,0,0
activate,https://ovidhan.net/word/activate.html,AUTO_PROTECTED,Batch 1,0,0
active,https://ovidhan.net/word/active.html,AUTO_PROTECTED,Batch 1,0,0
activism,https://ovidhan.net/word/activism.html,AUTO_PROTECTED,Batch 1,0,0
activities,https://ovidhan.net/word/activities.html,AUTO_PROTECTED,Batch 1,0,0
activity,https://ovidhan.net/word/activity.html,AUTO_PROTECTED,Batch 1,0,0
actor,https://ovidhan.net/word/actor.html,AUTO_PROTECTED,Batch 1,0,0
acts,https://ovidhan.net/word/acts.html,AUTO_PROTECTED,Batch 1,0,0
actual,https://ovidhan.net/word/actual.html,AUTO_PROTECTED,Batch 1,0,0
actually,https://ovidhan.net/word/actually.html,AUTO_PROTECTED,Batch 1,0,0
actuary,https://ovidhan.net/word/actuary.html,AUTO_PROTECTED,Batch 1,0,0
actuate,https://ovidhan.net/word/actuate.html,AUTO_PROTECTED,Batch 1,0,0
acuity,https://ovidhan.net/word/acuity.html,AUTO_PROTECTED,Batch 1,0,0
ad,https://ovidhan.net/word/ad.html,AUTO_PROTECTED,Batch 1,0,0
adage,https://ovidhan.net/word/adage.html,AUTO_PROTECTED,Batch 1,0,0
adam,https://ovidhan.net/word/adam.html,AUTO_PROTECTED,Batch 1,0,0
adams,https://ovidhan.net/word/adams.html,AUTO_PROTECTED,Batch 1,0,0
adapt,https://ovidhan.net/word/adapt.html,AUTO_PROTECTED,Batch 1,0,0
adaptable,https://ovidhan.net/word/adaptable.html,AUTO_PROTECTED,Batch 1,0,0
adapter,https://ovidhan.net/word/adapter.html,AUTO_PROTECTED,Batch 1,0,0
add,https://ovidhan.net/word/add.html,AUTO_PROTECTED,Batch 1,0,0
added,https://ovidhan.net/word/added.html,AUTO_PROTECTED,Batch 1,0,0
addict,https://ovidhan.net/word/addict.html,AUTO_PROTECTED,Batch 1,0,0
addiction,https://ovidhan.net/word/addiction.html,AUTO_PROTECTED,Batch 1,0,0
adding,https://ovidhan.net/word/adding.html,AUTO_PROTECTED,Batch 1,0,0
addition,https://ovidhan.net/word/addition.html,AUTO_PROTECTED,Batch 1,0,0
additional,https://ovidhan.net/word/additional.html,AUTO_PROTECTED,Batch 1,0,0
address,https://ovidhan.net/word/address.html,AUTO_PROTECTED,Batch 1,0,0
addressed,https://ovidhan.net/word/addressed.html,AUTO_PROTECTED,Batch 1,0,0
addresses,https://ovidhan.net/word/addresses.html,AUTO_PROTECTED,Batch 1,0,0
adds,https://ovidhan.net/word/adds.html,AUTO_PROTECTED,Batch 1,0,0
adequacy,https://ovidhan.net/word/adequacy.html,AUTO_PROTECTED,Batch 1,0,0
adequate,https://ovidhan.net/word/adequate.html,AUTO_PROTECTED,Batch 1,0,0
adhere,https://ovidhan.net/word/adhere.html,AUTO_PROTECTED,Batch 1,0,0
adherent,https://ovidhan.net/word/adherent.html,AUTO_PROTECTED,Batch 1,0,0
adhesive,https://ovidhan.net/word/adhesive.html,AUTO_PROTECTED,Batch 1,0,0
adjacent,https://ovidhan.net/word/adjacent.html,AUTO_PROTECTED,Batch 1,0,0
adjoin,https://ovidhan.net/word/adjoin.html,AUTO_PROTECTED,Batch 1,0,0
adjudicate,https://ovidhan.net/word/adjudicate.html,AUTO_PROTECTED,Batch 1,0,0
adjunct,https://ovidhan.net/word/adjunct.html,AUTO_PROTECTED,Batch 1,0,0
adjust,https://ovidhan.net/word/adjust.html,AUTO_PROTECTED,Batch 1,0,0
admin,https://ovidhan.net/word/admin.html,AUTO_PROTECTED,Batch 1,0,0
administer,https://ovidhan.net/word/administer.html,AUTO_PROTECTED,Batch 1,0,0
administration,https://ovidhan.net/word/administration.html,AUTO_PROTECTED,Batch 1,0,0
administrative,https://ovidhan.net/word/administrative.html,AUTO_PROTECTED,Batch 1,0,0
administrator,https://ovidhan.net/word/administrator.html,AUTO_PROTECTED,Batch 1,0,0
admirable,https://ovidhan.net/word/admirable.html,AUTO_PROTECTED,Batch 1,0,0
admiral,https://ovidhan.net/word/admiral.html,AUTO_PROTECTED,Batch 1,0,0
admire,https://ovidhan.net/word/admire.html,AUTO_PROTECTED,Batch 1,0,0
admission,https://ovidhan.net/word/admission.html,AUTO_PROTECTED,Batch 1,0,0
admonish,https://ovidhan.net/word/admonish.html,AUTO_PROTECTED,Batch 1,0,0
admonition,https://ovidhan.net/word/admonition.html,AUTO_PROTECTED,Batch 1,0,0
adobe,https://ovidhan.net/word/adobe.html,AUTO_PROTECTED,Batch 1,0,0
adolescent,https://ovidhan.net/word/adolescent.html,AUTO_PROTECTED,Batch 1,0,0
adopt,https://ovidhan.net/word/adopt.html,AUTO_PROTECTED,Batch 1,0,0
adopted,https://ovidhan.net/word/adopted.html,AUTO_PROTECTED,Batch 1,0,0
adoption,https://ovidhan.net/word/adoption.html,AUTO_PROTECTED,Batch 1,0,0
adorable,https://ovidhan.net/word/adorable.html,AUTO_PROTECTED,Batch 1,0,0
adoration,https://ovidhan.net/word/adoration.html,AUTO_PROTECTED,Batch 1,0,0
adorn,https://ovidhan.net/word/adorn.html,AUTO_PROTECTED,Batch 1,0,0
adrenaline,https://ovidhan.net/word/adrenaline.html,AUTO_PROTECTED,Batch 1,0,0
adrift,https://ovidhan.net/word/adrift.html,AUTO_PROTECTED,Batch 1,0,0
ads,https://ovidhan.net/word/ads.html,AUTO_PROTECTED,Batch 1,0,0
adult,https://ovidhan.net/word/adult.html,AUTO_PROTECTED,Batch 1,0,0
adulterate,https://ovidhan.net/word/adulterate.html,AUTO_PROTECTED,Batch 1,0,0
adults,https://ovidhan.net/word/adults.html,AUTO_PROTECTED,Batch 1,0,0
advance,https://ovidhan.net/word/advance.html,AUTO_PROTECTED,Batch 1,0,0
advanced,https://ovidhan.net/word/advanced.html,AUTO_PROTECTED,Batch 1,0,0
advantage,https://ovidhan.net/word/advantage.html,AUTO_PROTECTED,Batch 1,0,0
adventure,https://ovidhan.net/word/adventure.html,AUTO_PROTECTED,Batch 1,0,0
adventures,https://ovidhan.net/word/adventures.html,AUTO_PROTECTED,Batch 1,0,0
adversary,https://ovidhan.net/word/adversary.html,AUTO_PROTECTED,Batch 1,0,0
adverse,https://ovidhan.net/word/adverse.html,AUTO_PROTECTED,Batch 1,0,0
adversity,https://ovidhan.net/word/adversity.html,AUTO_PROTECTED,Batch 1,0,0
advertise,https://ovidhan.net/word/advertise.html,AUTO_PROTECTED,Batch 1,0,0
advertisement,https://ovidhan.net/word/advertisement.html,AUTO_PROTECTED,Batch 1,0,0
advertising,https://ovidhan.net/word/advertising.html,AUTO_PROTECTED,Batch 1,0,0
advice,https://ovidhan.net/word/advice.html,AUTO_PROTECTED,Batch 1,0,0
advisor,https://ovidhan.net/word/advisor.html,AUTO_PROTECTED,Batch 1,0,0
advisory,https://ovidhan.net/word/advisory.html,AUTO_PROTECTED,Batch 1,0,0
advocacy,https://ovidhan.net/word/advocacy.html,AUTO_PROTECTED,Batch 1,0,0
advocate,https://ovidhan.net/word/advocate.html,AUTO_PROTECTED,Batch 1,0,0
aerial,https://ovidhan.net/word/aerial.html,AUTO_PROTECTED,Batch 1,0,0
aesthetic,https://ovidhan.net/word/aesthetic.html,AUTO_PROTECTED,Batch 1,0,0
affable,https://ovidhan.net/word/affable.html,AUTO_PROTECTED,Batch 1,0,0
affairs,https://ovidhan.net/word/affairs.html,AUTO_PROTECTED,Batch 1,0,0
affect,https://ovidhan.net/word/affect.html,AUTO_PROTECTED,Batch 1,0,0
affected,https://ovidhan.net/word/affected.html,AUTO_PROTECTED,Batch 1,0,0
affection,https://ovidhan.net/word/affection.html,AUTO_PROTECTED,Batch 1,0,0
affidavit,https://ovidhan.net/word/affidavit.html,AUTO_PROTECTED,Batch 1,0,0
affiliate,https://ovidhan.net/word/affiliate.html,AUTO_PROTECTED,Batch 1,0,0
affiliates,https://ovidhan.net/word/affiliates.html,AUTO_PROTECTED,Batch 1,0,0
affirm,https://ovidhan.net/word/affirm.html,AUTO_PROTECTED,Batch 1,0,0
afflict,https://ovidhan.net/word/afflict.html,AUTO_PROTECTED,Batch 1,0,0
affliction,https://ovidhan.net/word/affliction.html,AUTO_PROTECTED,Batch 1,0,0
affluent,https://ovidhan.net/word/affluent.html,AUTO_PROTECTED,Batch 1,0,0
afford,https://ovidhan.net/word/afford.html,AUTO_PROTECTED,Batch 1,0,0
affordable,https://ovidhan.net/word/affordable.html,AUTO_PROTECTED,Batch 1,0,0
affront,https://ovidhan.net/word/affront.html,AUTO_PROTECTED,Batch 1,0,0
afghanistan,https://ovidhan.net/word/afghanistan.html,AUTO_PROTECTED,Batch 1,0,0
africa,https://ovidhan.net/word/africa.html,AUTO_PROTECTED,Batch 1,0,0
african,https://ovidhan.net/word/african.html,AUTO_PROTECTED,Batch 1,0,0
after,https://ovidhan.net/word/after.html,AUTO_PROTECTED,Batch 1,0,0
afternoon,https://ovidhan.net/word/afternoon.html,AUTO_PROTECTED,Batch 1,0,0
ag,https://ovidhan.net/word/ag.html,AUTO_PROTECTED,Batch 1,0,0
again,https://ovidhan.net/word/again.html,AUTO_PROTECTED,Batch 1,0,0
against,https://ovidhan.net/word/against.html,AUTO_PROTECTED,Batch 1,0,0
age,https://ovidhan.net/word/age.html,AUTO_PROTECTED,Batch 1,0,0
aged,https://ovidhan.net/word/aged.html,AUTO_PROTECTED,Batch 1,0,0
agencies,https://ovidhan.net/word/agencies.html,AUTO_PROTECTED,Batch 1,0,0
agency,https://ovidhan.net/word/agency.html,AUTO_PROTECTED,Batch 1,0,0
agenda,https://ovidhan.net/word/agenda.html,AUTO_PROTECTED,Batch 1,0,0
agent,https://ovidhan.net/word/agent.html,AUTO_PROTECTED,Batch 1,0,0
agents,https://ovidhan.net/word/agents.html,AUTO_PROTECTED,Batch 1,0,0
ages,https://ovidhan.net/word/ages.html,AUTO_PROTECTED,Batch 1,0,0
aggravate,https://ovidhan.net/word/aggravate.html,AUTO_PROTECTED,Batch 1,0,0
aggregate,https://ovidhan.net/word/aggregate.html,AUTO_PROTECTED,Batch 1,0,0
aggression,https://ovidhan.net/word/aggression.html,AUTO_PROTECTED,Batch 1,0,0
agile,https://ovidhan.net/word/agile.html,AUTO_PROTECTED,Batch 1,0,0
agitate,https://ovidhan.net/word/agitate.html,AUTO_PROTECTED,Batch 1,0,0
ago,https://ovidhan.net/word/ago.html,AUTO_PROTECTED,Batch 1,0,0
agony,https://ovidhan.net/word/agony.html,AUTO_PROTECTED,Batch 1,0,0
agree,https://ovidhan.net/word/agree.html,AUTO_PROTECTED,Batch 1,0,0
agreeable,https://ovidhan.net/word/agreeable.html,AUTO_PROTECTED,Batch 1,0,0
agreed,https://ovidhan.net/word/agreed.html,AUTO_PROTECTED,Batch 1,0,0
agreement,https://ovidhan.net/word/agreement.html,AUTO_PROTECTED,Batch 1,0,0
agreements,https://ovidhan.net/word/agreements.html,AUTO_PROTECTED,Batch 1,0,0
agricultural,https://ovidhan.net/word/agricultural.html,AUTO_PROTECTED,Batch 1,0,0
agriculture,https://ovidhan.net/word/agriculture.html,AUTO_PROTECTED,Batch 1,0,0
ah,https://ovidhan.net/word/ah.html,AUTO_PROTECTED,Batch 1,0,0
ahead,https://ovidhan.net/word/ahead.html,AUTO_PROTECTED,Batch 1,0,0
aid,https://ovidhan.net/word/aid.html,AUTO_PROTECTED,Batch 1,0,0
aide,https://ovidhan.net/word/aide.html,AUTO_PROTECTED,Batch 1,0,0
aids,https://ovidhan.net/word/aids.html,AUTO_PROTECTED,Batch 1,0,0
ailment,https://ovidhan.net/word/ailment.html,AUTO_PROTECTED,Batch 1,0,0
aim,https://ovidhan.net/word/aim.html,AUTO_PROTECTED,Batch 1,0,0
air,https://ovidhan.net/word/air.html,AUTO_PROTECTED,Batch 1,0,0
aircraft,https://ovidhan.net/word/aircraft.html,AUTO_PROTECTED,Batch 1,0,0
airlift,https://ovidhan.net/word/airlift.html,AUTO_PROTECTED,Batch 1,0,0
airline,https://ovidhan.net/word/airline.html,AUTO_PROTECTED,Batch 1,0,0
airlines,https://ovidhan.net/word/airlines.html,AUTO_PROTECTED,Batch 1,0,0
airport,https://ovidhan.net/word/airport.html,AUTO_PROTECTED,Batch 1,0,0
airtight,https://ovidhan.net/word/airtight.html,AUTO_PROTECTED,Batch 1,0,0
ak,https://ovidhan.net/word/ak.html,AUTO_PROTECTED,Batch 1,0,0
akin,https://ovidhan.net/word/akin.html,AUTO_PROTECTED,Batch 1,0,0
al,https://ovidhan.net/word/al.html,AUTO_PROTECTED,Batch 1,0,0
alabama,https://ovidhan.net/word/alabama.html,AUTO_PROTECTED,Batch 1,0,0
alacrity,https://ovidhan.net/word/alacrity.html,AUTO_PROTECTED,Batch 1,0,0
alan,https://ovidhan.net/word/alan.html,AUTO_PROTECTED,Batch 1,0,0
alarm,https://ovidhan.net/word/alarm.html,AUTO_PROTECTED,Batch 1,0,0
alaska,https://ovidhan.net/word/alaska.html,AUTO_PROTECTED,Batch 1,0,0
alberta,https://ovidhan.net/word/alberta.html,AUTO_PROTECTED,Batch 1,0,0
album,https://ovidhan.net/word/album.html,AUTO_PROTECTED,Batch 1,0,0
albums,https://ovidhan.net/word/albums.html,AUTO_PROTECTED,Batch 1,0,0
alchemy,https://ovidhan.net/word/alchemy.html,AUTO_PROTECTED,Batch 1,0,0
alcohol,https://ovidhan.net/word/alcohol.html,AUTO_PROTECTED,Batch 1,0,0
alert,https://ovidhan.net/word/alert.html,AUTO_PROTECTED,Batch 1,0,0
alerts,https://ovidhan.net/word/alerts.html,AUTO_PROTECTED,Batch 1,0,0
alex,https://ovidhan.net/word/alex.html,AUTO_PROTECTED,Batch 1,0,0
alexander,https://ovidhan.net/word/alexander.html,AUTO_PROTECTED,Batch 1,0,0
algebra,https://ovidhan.net/word/algebra.html,AUTO_PROTECTED,Batch 1,0,0
algorithm,https://ovidhan.net/word/algorithm.html,AUTO_PROTECTED,Batch 1,0,0
alien,https://ovidhan.net/word/alien.html,AUTO_PROTECTED,Batch 1,0,0
alienate,https://ovidhan.net/word/alienate.html,AUTO_PROTECTED,Batch 1,0,0
align,https://ovidhan.net/word/align.html,AUTO_PROTECTED,Batch 1,0,0
alike,https://ovidhan.net/word/alike.html,AUTO_PROTECTED,Batch 1,0,0
alimony,https://ovidhan.net/word/alimony.html,AUTO_PROTECTED,Batch 1,0,0
alive,https://ovidhan.net/word/alive.html,AUTO_PROTECTED,Batch 1,0,0
all,https://ovidhan.net/word/all.html,AUTO_PROTECTED,Batch 1,0,0
allay,https://ovidhan.net/word/allay.html,AUTO_PROTECTED,Batch 1,0,0
allegation,https://ovidhan.net/word/allegation.html,AUTO_PROTECTED,Batch 1,0,0
allege,https://ovidhan.net/word/allege.html,AUTO_PROTECTED,Batch 1,0,0
alleged,https://ovidhan.net/word/alleged.html,AUTO_PROTECTED,Batch 1,0,0
allegiance,https://ovidhan.net/word/allegiance.html,AUTO_PROTECTED,Batch 1,0,0
allegory,https://ovidhan.net/word/allegory.html,AUTO_PROTECTED,Batch 1,0,0
allen,https://ovidhan.net/word/allen.html,AUTO_PROTECTED,Batch 1,0,0
allergy,https://ovidhan.net/word/allergy.html,AUTO_PROTECTED,Batch 1,0,0
alleviate,https://ovidhan.net/word/alleviate.html,AUTO_PROTECTED,Batch 1,0,0
alley,https://ovidhan.net/word/alley.html,AUTO_PROTECTED,Batch 1,0,0
alliance,https://ovidhan.net/word/alliance.html,AUTO_PROTECTED,Batch 1,0,0
allocate,https://ovidhan.net/word/allocate.html,AUTO_PROTECTED,Batch 1,0,0
allocated,https://ovidhan.net/word/allocated.html,AUTO_PROTECTED,Batch 1,0,0
allot,https://ovidhan.net/word/allot.html,AUTO_PROTECTED,Batch 1,0,0
allow,https://ovidhan.net/word/allow.html,AUTO_PROTECTED,Batch 1,0,0
allowed,https://ovidhan.net/word/allowed.html,AUTO_PROTECTED,Batch 1,0,0
allowing,https://ovidhan.net/word/allowing.html,AUTO_PROTECTED,Batch 1,0,0
allows,https://ovidhan.net/word/allows.html,AUTO_PROTECTED,Batch 1,0,0
allude,https://ovidhan.net/word/allude.html,AUTO_PROTECTED,Batch 1,0,0
allure,https://ovidhan.net/word/allure.html,AUTO_PROTECTED,Batch 1,0,0
ally,https://ovidhan.net/word/ally.html,AUTO_PROTECTED,Batch 1,0,0
almighty,https://ovidhan.net/word/almighty.html,AUTO_PROTECTED,Batch 1,0,0
almost,https://ovidhan.net/word/almost.html,AUTO_PROTECTED,Batch 1,0,0
aloft,https://ovidhan.net/word/aloft.html,AUTO_PROTECTED,Batch 1,0,0
alone,https://ovidhan.net/word/alone.html,AUTO_PROTECTED,Batch 1,0,0
along,https://ovidhan.net/word/along.html,AUTO_PROTECTED,Batch 1,0,0
alongside,https://ovidhan.net/word/alongside.html,AUTO_PROTECTED,Batch 1,0,0
alpha,https://ovidhan.net/word/alpha.html,AUTO_PROTECTED,Batch 1,0,0
alphabet,https://ovidhan.net/word/alphabet.html,AUTO_PROTECTED,Batch 1,0,0
already,https://ovidhan.net/word/already.html,AUTO_PROTECTED,Batch 1,0,0
also,https://ovidhan.net/word/also.html,AUTO_PROTECTED,Batch 1,0,0
altar,https://ovidhan.net/word/altar.html,AUTO_PROTECTED,Batch 1,0,0
alter,https://ovidhan.net/word/alter.html,AUTO_PROTECTED,Batch 1,0,0
alternate,https://ovidhan.net/word/alternate.html,AUTO_PROTECTED,Batch 1,0,0
alternative,https://ovidhan.net/word/alternative.html,AUTO_PROTECTED,Batch 1,0,0
although,https://ovidhan.net/word/although.html,AUTO_PROTECTED,Batch 1,0,0
altitude,https://ovidhan.net/word/altitude.html,AUTO_PROTECTED,Batch 1,0,0
altruism,https://ovidhan.net/word/altruism.html,AUTO_PROTECTED,Batch 1,0,0
