word,url,BD_CLICKS,BD_IMPRESSIONS,BD_CTR,BD_POSITION,metric_scope,migration_class,tier,tier_score,batch_1,static_legacy_status,self_canonical,rendering_quality,indexability_signals_pass,source_completeness_score,source_fields_present,tier_flags
outlast,https://ovidhan.net/word/outlast.html,0,5,0.0,11.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
outright,https://ovidhan.net/word/outright.html,0,5,0.0,19.2,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
retro,https://ovidhan.net/word/retro.html,0,5,0.0,10.2,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
smoothed,https://ovidhan.net/word/smoothed.html,0,5,0.0,53.4,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
softly,https://ovidhan.net/word/softly.html,0,5,0.0,62.4,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
unstoppable,https://ovidhan.net/word/unstoppable.html,0,5,0.0,11.6,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
ver,https://ovidhan.net/word/ver.html,0,5,0.0,10.4,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
walmart,https://ovidhan.net/word/walmart.html,1,5,0.2,6.2,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
ankara,https://ovidhan.net/word/ankara.html,0,4,0.0,8.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
howards,https://ovidhan.net/word/howards.html,0,4,0.0,57.75,BANGLADESH-FILTERED GSC,INVALID/NOISE,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,source-record-missing,source-record-missing
manpower,https://ovidhan.net/word/manpower.html,0,4,0.0,71.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
mash,https://ovidhan.net/word/mash.html,0,4,0.0,79.75,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
net-worth,https://ovidhan.net/word/net-worth.html,0,4,0.0,12.0,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
phat,https://ovidhan.net/word/phat.html,0,4,0.0,9.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
proprietors,https://ovidhan.net/word/proprietors.html,0,4,0.0,63.25,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
reverie,https://ovidhan.net/word/reverie.html,0,4,0.0,65.25,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
shopkeepers,https://ovidhan.net/word/shopkeepers.html,0,4,0.0,56.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
solicitor,https://ovidhan.net/word/solicitor.html,0,4,0.0,57.75,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
sorta,https://ovidhan.net/word/sorta.html,0,4,0.0,6.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
sweetest,https://ovidhan.net/word/sweetest.html,0,4,0.0,11.75,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
tampons,https://ovidhan.net/word/tampons.html,0,4,0.0,34.75,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
ugly,https://ovidhan.net/word/ugly.html,0,4,0.0,29.75,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
unwavering,https://ovidhan.net/word/unwavering.html,0,4,0.0,36.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
catwoman,https://ovidhan.net/word/catwoman.html,0,3,0.0,3.67,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
horrendous,https://ovidhan.net/word/horrendous.html,0,3,0.0,11.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
lean,https://ovidhan.net/word/lean.html,0,3,0.0,51.0,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
lentils,https://ovidhan.net/word/lentils.html,0,3,0.0,40.67,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
memes,https://ovidhan.net/word/memes.html,0,3,0.0,39.33,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
parsley,https://ovidhan.net/word/parsley.html,0,3,0.0,44.67,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
predetermined,https://ovidhan.net/word/predetermined.html,0,3,0.0,20.67,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
quirky,https://ovidhan.net/word/quirky.html,0,3,0.0,21.33,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
roommates,https://ovidhan.net/word/roommates.html,0,3,0.0,49.33,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
smoothness,https://ovidhan.net/word/smoothness.html,0,3,0.0,28.67,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
specificity,https://ovidhan.net/word/specificity.html,0,3,0.0,24.33,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
spellings,https://ovidhan.net/word/spellings.html,0,3,0.0,76.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
stroll,https://ovidhan.net/word/stroll.html,0,3,0.0,24.67,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
tans,https://ovidhan.net/word/tans.html,0,3,0.0,67.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
thirsty,https://ovidhan.net/word/thirsty.html,0,3,0.0,46.67,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
thyroid,https://ovidhan.net/word/thyroid.html,0,3,0.0,59.33,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
unflinching,https://ovidhan.net/word/unflinching.html,0,3,0.0,12.67,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
vp,https://ovidhan.net/word/vp.html,0,3,0.0,59.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
wherewithal,https://ovidhan.net/word/wherewithal.html,0,3,0.0,8.33,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
whorls,https://ovidhan.net/word/whorls.html,0,3,0.0,47.67,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
widely,https://ovidhan.net/word/widely.html,0,3,0.0,49.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
writ,https://ovidhan.net/word/writ.html,0,3,0.0,51.33,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
yangtze,https://ovidhan.net/word/yangtze.html,0,3,0.0,10.67,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
airpods,https://ovidhan.net/word/airpods.html,0,2,0.0,8.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
bub,https://ovidhan.net/word/bub.html,0,2,0.0,67.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
calcareous,https://ovidhan.net/word/calcareous.html,0,2,0.0,9.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
cliffhanger,https://ovidhan.net/word/cliffhanger.html,0,2,0.0,10.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
comparatively,https://ovidhan.net/word/comparatively.html,0,2,0.0,12.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
integration,https://ovidhan.net/word/integration.html,0,2,0.0,11.5,BANGLADESH-FILTERED GSC,REVIEW,A,7,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,4,bangla;definition;part_of_speech;example,all-source-examples-rejected
legible,https://ovidhan.net/word/legible.html,0,2,0.0,24.0,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
linkedin,https://ovidhan.net/word/linkedin.html,0,2,0.0,31.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
magenta,https://ovidhan.net/word/magenta.html,0,2,0.0,42.5,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
maleficent,https://ovidhan.net/word/maleficent.html,0,2,0.0,40.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
meanest,https://ovidhan.net/word/meanest.html,0,2,0.0,9.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
melo,https://ovidhan.net/word/melo.html,0,2,0.0,7.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
mosquitos,https://ovidhan.net/word/mosquitos.html,0,2,0.0,70.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
moss,https://ovidhan.net/word/moss.html,0,2,0.0,57.0,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
motivational,https://ovidhan.net/word/motivational.html,0,2,0.0,50.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
muddled,https://ovidhan.net/word/muddled.html,0,2,0.0,34.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
nuggets,https://ovidhan.net/word/nuggets.html,0,2,0.0,72.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
offender,https://ovidhan.net/word/offender.html,0,2,0.0,18.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
omitted,https://ovidhan.net/word/omitted.html,0,2,0.0,62.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
oregano,https://ovidhan.net/word/oregano.html,0,2,0.0,47.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
overshadowed,https://ovidhan.net/word/overshadowed.html,0,2,0.0,36.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
panics,https://ovidhan.net/word/panics.html,0,2,0.0,57.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
parasol,https://ovidhan.net/word/parasol.html,0,2,0.0,79.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
perimeter,https://ovidhan.net/word/perimeter.html,0,2,0.0,32.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
pie,https://ovidhan.net/word/pie.html,0,2,0.0,32.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
pitfalls,https://ovidhan.net/word/pitfalls.html,0,2,0.0,12.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
policymakers,https://ovidhan.net/word/policymakers.html,0,2,0.0,8.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
presumed,https://ovidhan.net/word/presumed.html,0,2,0.0,52.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
provision,https://ovidhan.net/word/provision.html,0,2,0.0,68.0,BANGLADESH-FILTERED GSC,REVIEW,A,7,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,4,bangla;definition;part_of_speech;example,all-source-examples-rejected
quantum,https://ovidhan.net/word/quantum.html,0,2,0.0,68.0,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
quilt,https://ovidhan.net/word/quilt.html,0,2,0.0,58.0,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
quran,https://ovidhan.net/word/quran.html,0,2,0.0,73.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
railway,https://ovidhan.net/word/railway.html,0,2,0.0,11.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
rebrand,https://ovidhan.net/word/rebrand.html,0,2,0.0,8.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
receptionist,https://ovidhan.net/word/receptionist.html,0,2,0.0,71.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
redirect,https://ovidhan.net/word/redirect.html,0,2,0.0,9.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
relive,https://ovidhan.net/word/relive.html,0,2,0.0,79.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
riverdale,https://ovidhan.net/word/riverdale.html,0,2,0.0,7.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
sack,https://ovidhan.net/word/sack.html,0,2,0.0,37.5,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
salazar,https://ovidhan.net/word/salazar.html,0,2,0.0,42.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
sanguine,https://ovidhan.net/word/sanguine.html,0,2,0.0,81.5,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
sink,https://ovidhan.net/word/sink.html,0,2,0.0,47.5,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
slavic,https://ovidhan.net/word/slavic.html,0,2,0.0,11.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
sleazy,https://ovidhan.net/word/sleazy.html,0,2,0.0,12.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
sneeze,https://ovidhan.net/word/sneeze.html,0,2,0.0,56.5,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
solidity,https://ovidhan.net/word/solidity.html,0,2,0.0,33.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
souths,https://ovidhan.net/word/souths.html,0,2,0.0,49.0,BANGLADESH-FILTERED GSC,INVALID/NOISE,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,source-record-missing,source-record-missing
soya,https://ovidhan.net/word/soya.html,0,2,0.0,62.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
squads,https://ovidhan.net/word/squads.html,0,2,0.0,52.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
stalk,https://ovidhan.net/word/stalk.html,0,2,0.0,53.0,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
straighten,https://ovidhan.net/word/straighten.html,0,2,0.0,52.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
strained,https://ovidhan.net/word/strained.html,0,2,0.0,50.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
street,https://ovidhan.net/word/street.html,0,2,0.0,25.0,BANGLADESH-FILTERED GSC,REVIEW,A,7,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,4,bangla;definition;part_of_speech;example,all-source-examples-rejected
strollers,https://ovidhan.net/word/strollers.html,0,2,0.0,36.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
swig,https://ovidhan.net/word/swig.html,0,2,0.0,56.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
swine,https://ovidhan.net/word/swine.html,0,2,0.0,66.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
tailgating,https://ovidhan.net/word/tailgating.html,0,2,0.0,11.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
