original_priority_rank,word,url,canonical_slug_valid,BD_IMPRESSIONS,BD_CLICKS,BD_CTR,BD_POSITION,BD_RELEVANT_QUERY_IMPRESSIONS,tier,migration_class,rendering_state,source_completeness_score,source_fields_present,source_bangla,source_definition,source_part_of_speech,source_example,source_synonyms,source_antonyms,source_word_family,source_pronunciation,source_editorial_status,classification,source_problem,recommended_action,synthetic_example_rejected,publish_bangla,publish_definition,publish_part_of_speech,publish_example,publish_synonyms,publish_antonyms,publish_word_family,publish_pronunciation,publish_synonym_values,publish_antonym_values,publish_word_family_values,future_omissions
19,pose,https://ovidhan.net/word/pose.html,True,1,0,0.0,19.0,1,B,REVIEW,LEGACY,1,bangla,ভঙ্গি,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
20,procure,https://ovidhan.net/word/procure.html,True,1,0,0.0,19.0,1,B,REVIEW,LEGACY,1,bangla,সংগ্রহ,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
21,proprietary,https://ovidhan.net/word/proprietary.html,True,1,0,0.0,11.0,1,B,REVIEW,LEGACY,1,bangla,মালিকানা,,,,,,,,draft,HUMAN_REVIEW,Bangla 'মালিকানা' is a noun while proprietary is commonly adjectival; sense/POS review is required.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
22,weird,https://ovidhan.net/word/weird.html,True,1,0,0.0,16.0,1,B,REVIEW,LEGACY,1,bangla,অদ্ভুত,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
23,rod,https://ovidhan.net/word/rod.html,True,1,0,0.0,16.0,0,B,REVIEW,LEGACY,1,bangla,রড,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
24,legible,https://ovidhan.net/word/legible.html,True,2,0,0.0,24.0,2,B,REVIEW,LEGACY,1,bangla,পাঠযোগ্য,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
25,tram,https://ovidhan.net/word/tram.html,True,2,0,0.0,42.5,2,B,REVIEW,LEGACY,1,bangla,ট্রাম,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
26,labour,https://ovidhan.net/word/labour.html,True,1,0,0.0,19.0,0,B,REVIEW,LEGACY,1,bangla,শ্রম,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
27,loophole,https://ovidhan.net/word/loophole.html,True,1,0,0.0,11.0,0,B,REVIEW,LEGACY,1,bangla,ফাঁকি,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
28,tire,https://ovidhan.net/word/tire.html,True,1,0,0.0,19.0,0,B,REVIEW,LEGACY,1,bangla,টায়ার,,,,,,,,draft,HUMAN_REVIEW,Bangla 'টায়ার' selects the US noun sense but the unqualified headword is polysemous and has no POS/definition.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
29,magenta,https://ovidhan.net/word/magenta.html,True,2,0,0.0,42.5,2,B,REVIEW,LEGACY,1,bangla,ম্যাজেন্টা,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
30,terrible,https://ovidhan.net/word/terrible.html,True,2,0,0.0,50.0,1,B,REVIEW,LEGACY,1,bangla,ভয়ানক,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
31,lean,https://ovidhan.net/word/lean.html,True,3,0,0.0,51.0,3,B,REVIEW,LEGACY,1,bangla,চর্বিহীন,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
32,sack,https://ovidhan.net/word/sack.html,True,2,0,0.0,37.5,1,B,REVIEW,LEGACY,1,bangla,বস্তা,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
33,sink,https://ovidhan.net/word/sink.html,True,2,0,0.0,47.5,0,B,REVIEW,LEGACY,1,bangla,ডুব,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
34,mirth,https://ovidhan.net/word/mirth.html,True,1,0,0.0,24.0,1,B,REVIEW,LEGACY,1,bangla,আনন্দ,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
35,mutiny,https://ovidhan.net/word/mutiny.html,True,1,0,0.0,38.0,1,B,REVIEW,LEGACY,1,bangla,বিদ্রোহ,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
36,quilt,https://ovidhan.net/word/quilt.html,True,2,0,0.0,58.0,2,B,REVIEW,LEGACY,1,bangla,কুইল্ট,,,,,,,,draft,HUMAN_REVIEW,Bangla is transliteration-only; confirm whether an explanatory Bangla equivalent is required.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
37,sanguine,https://ovidhan.net/word/sanguine.html,True,2,0,0.0,81.5,2,B,REVIEW,LEGACY,1,bangla,স্বচ্ছ,,,,,,,,draft,REJECT,Bangla meaning 'স্বচ্ছ' is incorrect for the relevant senses of sanguine.,DATA_REMEDIATION,False,False,False,False,False,False,False,False,False,,,,bangla
38,purge,https://ovidhan.net/word/purge.html,True,1,0,0.0,42.0,1,B,REVIEW,LEGACY,1,bangla,শুদ্ধ করা,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
39,sturdy,https://ovidhan.net/word/sturdy.html,True,1,0,0.0,31.0,1,B,REVIEW,LEGACY,1,bangla,বলিষ্ঠ,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
40,militant,https://ovidhan.net/word/militant.html,True,1,0,0.0,27.0,1,B,REVIEW,LEGACY,1,bangla,জঙ্গি,,,,,,,,draft,HUMAN_REVIEW,Bangla 'জঙ্গি' is narrower and more charged than the full adjective/noun meaning.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
41,musk,https://ovidhan.net/word/musk.html,True,1,0,0.0,34.0,1,B,REVIEW,LEGACY,1,bangla,কস্তুরী,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
42,rudimentary,https://ovidhan.net/word/rudimentary.html,True,1,0,0.0,32.0,1,B,REVIEW,LEGACY,1,bangla,প্রাথমিক,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
43,terrific,https://ovidhan.net/word/terrific.html,True,1,0,0.0,26.0,1,B,REVIEW,LEGACY,1,bangla,ভয়ঙ্কর,,,,,,,,draft,HUMAN_REVIEW,Bangla 'ভয়ঙ্কর' represents an older/literal sense and may mislead for the common modern sense 'excellent'.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
44,tunnel,https://ovidhan.net/word/tunnel.html,True,1,0,0.0,39.0,1,B,REVIEW,LEGACY,1,bangla,টানেল,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
45,constellation,https://ovidhan.net/word/constellation.html,True,1,0,0.0,27.0,1,B,REVIEW,LEGACY,1,bangla,নক্ষত্রপুঞ্জ,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
46,prologue,https://ovidhan.net/word/prologue.html,True,1,0,0.0,31.0,1,B,REVIEW,LEGACY,1,bangla,প্রস্তাবনা,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
47,quake,https://ovidhan.net/word/quake.html,True,1,0,0.0,37.0,1,B,REVIEW,LEGACY,1,bangla,ভূমিকম্প,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
48,spectacular,https://ovidhan.net/word/spectacular.html,True,1,0,0.0,30.0,1,B,REVIEW,LEGACY,1,bangla,দর্শনীয়,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
49,wallet,https://ovidhan.net/word/wallet.html,True,2,0,0.0,53.0,1,B,REVIEW,LEGACY,1,bangla,মানিব্যাগ,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
50,stalk,https://ovidhan.net/word/stalk.html,True,2,0,0.0,53.0,1,B,REVIEW,LEGACY,1,bangla,ডালপালা,,,,,,,,draft,HUMAN_REVIEW,Bangla 'ডালপালা' does not clearly identify the intended stem/stalk sense.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
51,economical,https://ovidhan.net/word/economical.html,True,1,0,0.0,30.0,1,B,REVIEW,LEGACY,1,bangla,অর্থনৈতিক,,,,,,,,draft,REJECT,"Bangla meaning 'অর্থনৈতিক' describes economic, not economical (cost-saving/frugal).",DATA_REMEDIATION,False,False,False,False,False,False,False,False,False,,,,bangla
52,integrity,https://ovidhan.net/word/integrity.html,True,1,0,0.0,48.0,1,B,REVIEW,LEGACY,1,bangla,সততা,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
53,monumental,https://ovidhan.net/word/monumental.html,True,1,0,0.0,26.0,1,B,REVIEW,LEGACY,1,bangla,মনুমেন্টাল,,,,,,,,draft,REJECT,Bangla is an unexplained transliteration and no definition establishes a learner-useful sense.,DATA_REMEDIATION,False,False,False,False,False,False,False,False,False,,,,bangla
54,nun,https://ovidhan.net/word/nun.html,True,1,0,0.0,33.0,1,B,REVIEW,LEGACY,1,bangla,সন্ন্যাসী,,,,,,,,draft,REJECT,Bangla meaning uses the masculine/general 'সন্ন্যাসী'; the female sense is not represented accurately.,DATA_REMEDIATION,False,False,False,False,False,False,False,False,False,,,,bangla
55,pedestrian,https://ovidhan.net/word/pedestrian.html,True,1,0,0.0,25.0,1,B,REVIEW,LEGACY,1,bangla,পথচারী,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
56,shout,https://ovidhan.net/word/shout.html,True,1,0,0.0,49.0,1,B,REVIEW,LEGACY,1,bangla,চিৎকার,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
57,swing,https://ovidhan.net/word/swing.html,True,1,0,0.0,45.0,1,B,REVIEW,LEGACY,1,bangla,সুইং,,,,,,,,draft,HUMAN_REVIEW,Transliteration-only answer does not disambiguate the noun and verb senses.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
58,sympathy,https://ovidhan.net/word/sympathy.html,True,1,0,0.0,38.0,1,B,REVIEW,LEGACY,1,bangla,সহানুভূতি,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
59,torch,https://ovidhan.net/word/torch.html,True,1,0,0.0,34.0,1,B,REVIEW,LEGACY,1,bangla,টর্চ,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
60,wagon,https://ovidhan.net/word/wagon.html,True,1,0,0.0,36.0,1,B,REVIEW,LEGACY,1,bangla,ওয়াগন,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
61,subside,https://ovidhan.net/word/subside.html,True,1,0,0.0,42.0,0,B,REVIEW,LEGACY,1,bangla,কম,,,,,,,,draft,REJECT,Bangla value 'কম' is not a sufficient or grammatically correct rendering of the verb subside.,DATA_REMEDIATION,False,False,False,False,False,False,False,False,False,,,,bangla
62,quarry,https://ovidhan.net/word/quarry.html,True,1,0,0.0,37.0,0,B,REVIEW,LEGACY,1,bangla,খনন,,,,,,,,draft,HUMAN_REVIEW,Bangla 'খনন' describes excavation rather than clearly defining quarry as noun/verb.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
63,vocabulary,https://ovidhan.net/word/vocabulary.html,True,1,0,0.0,52.0,7,B,REVIEW,LEGACY,1,bangla,শব্দভান্ডার,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
64,nevertheless,https://ovidhan.net/word/nevertheless.html,True,1,0,0.0,47.0,0,B,REVIEW,LEGACY,1,bangla,তবুও,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
65,spine,https://ovidhan.net/word/spine.html,True,1,0,0.0,32.0,0,B,REVIEW,LEGACY,1,bangla,মেরুদণ্ড,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
66,stab,https://ovidhan.net/word/stab.html,True,1,0,0.0,46.0,0,B,REVIEW,LEGACY,1,bangla,ছুরিকাঘাত,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
67,ultimatum,https://ovidhan.net/word/ultimatum.html,True,1,0,0.0,50.0,0,B,REVIEW,LEGACY,1,bangla,আল্টিমেটাম,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
68,quantum,https://ovidhan.net/word/quantum.html,True,2,0,0.0,68.0,0,B,REVIEW,LEGACY,1,bangla,কোয়ান্টাম,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
69,moss,https://ovidhan.net/word/moss.html,True,2,0,0.0,57.0,0,B,REVIEW,LEGACY,1,bangla,শ্যাওলা,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
70,sneeze,https://ovidhan.net/word/sneeze.html,True,2,0,0.0,56.5,0,B,REVIEW,LEGACY,1,bangla,হাঁচি,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
71,vanish,https://ovidhan.net/word/vanish.html,True,2,0,0.0,70.0,0,B,REVIEW,LEGACY,1,bangla,অদৃশ্য,,,,,,,,draft,HUMAN_REVIEW,Bangla 'অদৃশ্য' is adjectival and does not fully render the verb without editorial confirmation.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
72,equable,https://ovidhan.net/word/equable.html,True,1,0,0.0,39.0,0,B,REVIEW,LEGACY,1,bangla,সমান,,,,,,,,draft,HUMAN_REVIEW,Bangla 'সমান' is overly broad and may not convey even-tempered/uniform senses.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
73,hallmark,https://ovidhan.net/word/hallmark.html,True,1,0,0.0,42.0,0,B,REVIEW,LEGACY,1,bangla,হলমার্ক,,,,,,,,draft,HUMAN_REVIEW,Transliteration-only answer does not establish the characteristic/mark-of-quality sense.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
74,sad,https://ovidhan.net/word/sad.html,True,1,0,0.0,45.0,0,B,REVIEW,LEGACY,1,bangla,দুঃখজনক,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
75,slant,https://ovidhan.net/word/slant.html,True,1,0,0.0,39.0,0,B,REVIEW,LEGACY,1,bangla,তির্যক,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
76,slobber,https://ovidhan.net/word/slobber.html,True,1,0,0.0,23.0,0,B,REVIEW,LEGACY,1,bangla,স্লোবার,,,,,,,,draft,REJECT,Bangla is an unsupported transliteration and no definition establishes the meaning.,DATA_REMEDIATION,False,False,False,False,False,False,False,False,False,,,,bangla
77,suppose,https://ovidhan.net/word/suppose.html,True,1,0,0.0,36.0,0,B,REVIEW,LEGACY,1,bangla,ধরুন,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
78,tear,https://ovidhan.net/word/tear.html,True,1,0,0.0,46.0,0,B,REVIEW,LEGACY,1,bangla,টিয়ার,,,,,,,,draft,HUMAN_REVIEW,Transliteration-only answer does not disambiguate the tear/tear homographs.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
79,deficit,https://ovidhan.net/word/deficit.html,True,1,0,0.0,69.0,1,B,REVIEW,LEGACY,1,bangla,ঘাটতি,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
80,stroke,https://ovidhan.net/word/stroke.html,True,1,0,0.0,54.0,1,B,REVIEW,LEGACY,1,bangla,স্ট্রোক,,,,,,,,draft,HUMAN_REVIEW,"Transliteration-only answer does not disambiguate medical, movement, mark, and verb senses.",HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
81,telescope,https://ovidhan.net/word/telescope.html,True,1,0,0.0,58.0,1,B,REVIEW,LEGACY,1,bangla,টেলিস্কোপ,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
