cohort,cohort_id,word,url,BASELINE_DATE,GSC_PERIOD,COUNTRY,BD_IMPRESSIONS,BD_CLICKS,BD_CTR,BD_POSITION,tier,source_completeness_score,rendering_state,cohort_frozen,query_intent
TREATMENT,T012,quirky,https://ovidhan.net/word/quirky.html,2026-08-16,Last 3 months,Bangladesh,3,0,0.0,21.33,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T013,mercantile,https://ovidhan.net/word/mercantile.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,11.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T014,february,https://ovidhan.net/word/february.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,55.0,A,5,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T015,oversee,https://ovidhan.net/word/oversee.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,12.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T016,pose,https://ovidhan.net/word/pose.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,19.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T017,procure,https://ovidhan.net/word/procure.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,19.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T018,weird,https://ovidhan.net/word/weird.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,16.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T019,rod,https://ovidhan.net/word/rod.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,16.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T020,legible,https://ovidhan.net/word/legible.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,24.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T021,tram,https://ovidhan.net/word/tram.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,42.5,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T022,labour,https://ovidhan.net/word/labour.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,19.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T023,loophole,https://ovidhan.net/word/loophole.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,11.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T024,magenta,https://ovidhan.net/word/magenta.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,42.5,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T025,terrible,https://ovidhan.net/word/terrible.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,50.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T026,lean,https://ovidhan.net/word/lean.html,2026-08-16,Last 3 months,Bangladesh,3,0,0.0,51.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T027,sack,https://ovidhan.net/word/sack.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,37.5,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T028,sink,https://ovidhan.net/word/sink.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,47.5,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T029,mirth,https://ovidhan.net/word/mirth.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,24.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T030,mutiny,https://ovidhan.net/word/mutiny.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,38.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T031,purge,https://ovidhan.net/word/purge.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,42.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T032,sturdy,https://ovidhan.net/word/sturdy.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,31.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T033,musk,https://ovidhan.net/word/musk.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,34.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T034,rudimentary,https://ovidhan.net/word/rudimentary.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,32.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T035,tunnel,https://ovidhan.net/word/tunnel.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,39.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T036,constellation,https://ovidhan.net/word/constellation.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,27.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T037,prologue,https://ovidhan.net/word/prologue.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,31.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T038,quake,https://ovidhan.net/word/quake.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,37.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T039,spectacular,https://ovidhan.net/word/spectacular.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,30.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T040,wallet,https://ovidhan.net/word/wallet.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,53.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T041,integrity,https://ovidhan.net/word/integrity.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,48.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T042,pedestrian,https://ovidhan.net/word/pedestrian.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,25.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T043,shout,https://ovidhan.net/word/shout.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,49.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T044,sympathy,https://ovidhan.net/word/sympathy.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,38.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T045,torch,https://ovidhan.net/word/torch.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,34.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T046,wagon,https://ovidhan.net/word/wagon.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,36.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T047,vocabulary,https://ovidhan.net/word/vocabulary.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,52.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T048,nevertheless,https://ovidhan.net/word/nevertheless.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,47.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T049,spine,https://ovidhan.net/word/spine.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,32.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T050,stab,https://ovidhan.net/word/stab.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,46.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T051,ultimatum,https://ovidhan.net/word/ultimatum.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,50.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T052,quantum,https://ovidhan.net/word/quantum.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,68.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T053,moss,https://ovidhan.net/word/moss.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,57.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T054,sneeze,https://ovidhan.net/word/sneeze.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,56.5,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T055,sad,https://ovidhan.net/word/sad.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,45.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T056,slant,https://ovidhan.net/word/slant.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,39.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T057,suppose,https://ovidhan.net/word/suppose.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,36.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T058,deficit,https://ovidhan.net/word/deficit.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,69.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T059,telescope,https://ovidhan.net/word/telescope.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,58.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T060,shy,https://ovidhan.net/word/shy.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,87.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T061,friction,https://ovidhan.net/word/friction.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,51.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T062,reckon,https://ovidhan.net/word/reckon.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,76.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T063,velocity,https://ovidhan.net/word/velocity.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,70.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T064,lash,https://ovidhan.net/word/lash.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,83.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T065,nest,https://ovidhan.net/word/nest.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,74.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T066,opportune,https://ovidhan.net/word/opportune.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,57.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T067,phenomenon,https://ovidhan.net/word/phenomenon.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,55.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T068,reassure,https://ovidhan.net/word/reassure.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,54.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T069,recital,https://ovidhan.net/word/recital.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,72.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T070,wash,https://ovidhan.net/word/wash.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,51.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T071,wipe,https://ovidhan.net/word/wipe.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,53.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T072,withdrawal,https://ovidhan.net/word/withdrawal.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,82.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C001,skewed,https://ovidhan.net/word/skewed.html,2026-08-16,Last 3 months,Bangladesh,7,0,0.0,58.43,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C002,outlast,https://ovidhan.net/word/outlast.html,2026-08-16,Last 3 months,Bangladesh,5,0,0.0,11.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C003,tire,https://ovidhan.net/word/tire.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,19.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C004,economical,https://ovidhan.net/word/economical.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,30.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C005,militant,https://ovidhan.net/word/militant.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,27.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C006,monumental,https://ovidhan.net/word/monumental.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,26.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C007,quilt,https://ovidhan.net/word/quilt.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,58.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C008,on,https://ovidhan.net/word/on.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,74.0,A,6,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C009,nun,https://ovidhan.net/word/nun.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,33.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C010,vanish,https://ovidhan.net/word/vanish.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,70.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C011,swing,https://ovidhan.net/word/swing.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,45.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C012,terrific,https://ovidhan.net/word/terrific.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,26.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C013,equable,https://ovidhan.net/word/equable.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,39.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C014,hallmark,https://ovidhan.net/word/hallmark.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,42.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C015,quarry,https://ovidhan.net/word/quarry.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,37.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C016,slobber,https://ovidhan.net/word/slobber.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,23.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C017,sanguine,https://ovidhan.net/word/sanguine.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,81.5,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C018,crunch,https://ovidhan.net/word/crunch.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,78.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C019,manipulate,https://ovidhan.net/word/manipulate.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,53.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C020,mess,https://ovidhan.net/word/mess.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,62.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C021,sinuous,https://ovidhan.net/word/sinuous.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,9.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C022,stroke,https://ovidhan.net/word/stroke.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,54.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C023,stalk,https://ovidhan.net/word/stalk.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,53.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C024,mayhem,https://ovidhan.net/word/mayhem.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,11.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C025,offset,https://ovidhan.net/word/offset.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,92.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C026,proprietary,https://ovidhan.net/word/proprietary.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,11.0,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C027,rant,https://ovidhan.net/word/rant.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,58.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C028,squash,https://ovidhan.net/word/squash.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,69.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C029,subside,https://ovidhan.net/word/subside.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,42.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C030,tear,https://ovidhan.net/word/tear.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,46.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C031,amt,https://ovidhan.net/word/amt.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,20.0,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C032,chargers,https://ovidhan.net/word/chargers.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,14.0,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C033,convicted,https://ovidhan.net/word/convicted.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,31.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C034,defeated,https://ovidhan.net/word/defeated.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,33.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C035,dundee,https://ovidhan.net/word/dundee.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,27.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C036,insurrection,https://ovidhan.net/word/insurrection.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,34.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C037,latex,https://ovidhan.net/word/latex.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,33.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C038,ll,https://ovidhan.net/word/ll.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,36.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C039,lucifer,https://ovidhan.net/word/lucifer.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,28.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C040,manhood,https://ovidhan.net/word/manhood.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,35.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C041,meddling,https://ovidhan.net/word/meddling.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,21.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C042,mic,https://ovidhan.net/word/mic.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,32.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C043,mitochondria,https://ovidhan.net/word/mitochondria.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,45.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C044,ninety,https://ovidhan.net/word/ninety.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,40.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C045,nutshell,https://ovidhan.net/word/nutshell.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,21.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C046,offended,https://ovidhan.net/word/offended.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,39.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C047,opal,https://ovidhan.net/word/opal.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,38.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C048,oratory,https://ovidhan.net/word/oratory.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,35.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C049,otp,https://ovidhan.net/word/otp.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,37.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C050,climber,https://ovidhan.net/word/climber.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,71.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C051,trite,https://ovidhan.net/word/trite.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,43.0,C,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C052,amc,https://ovidhan.net/word/amc.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,41.0,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C053,aust,https://ovidhan.net/word/aust.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,44.0,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C054,bailout,https://ovidhan.net/word/bailout.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,31.0,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C055,bidet,https://ovidhan.net/word/bidet.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,50.0,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C056,bridesmaid,https://ovidhan.net/word/bridesmaid.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,33.0,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C057,carries,https://ovidhan.net/word/carries.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,29.0,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C058,excellency,https://ovidhan.net/word/excellency.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,56.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C059,parked,https://ovidhan.net/word/parked.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,87.0,D,0,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
CONTROL,C060,snug,https://ovidhan.net/word/snug.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,54.0,C,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C061,activated,https://ovidhan.net/word/activated.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,55.0,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C062,aladdin,https://ovidhan.net/word/aladdin.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,66.0,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C063,calms,https://ovidhan.net/word/calms.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,62.0,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C064,demarcation,https://ovidhan.net/word/demarcation.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,71.0,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
CONTROL,C065,demonstrably,https://ovidhan.net/word/demonstrably.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,60.0,D,0,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
