control_id,matched_treatment_word,word,url,tier,migration_class,rendering_state,source_completeness_score,source_fields_present,BD_IMPRESSIONS,BD_CLICKS,BD_CTR,BD_POSITION,BD_RELEVANT_QUERY_IMPRESSIONS,query_intent,impression_band,position_band,matched_treatment_tier,matched_treatment_impression_band,matched_treatment_position_band,matched_treatment_completeness,matched_treatment_query_intent,match_cost,match_quality,control_frozen,required_action
C015,sack,quarry,https://ovidhan.net/word/quarry.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,37.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,7,ACCEPTABLE,True,NO STATIC UPGRADE
C016,sink,slobber,https://ovidhan.net/word/slobber.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,23.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,21-50,B,1-4,21-50,1,PAGE_ONLY_OR_UNATTRIBUTED,2,EXACT/STRONG,True,NO STATIC UPGRADE
C017,wallet,sanguine,https://ovidhan.net/word/sanguine.html,B,REVIEW,LEGACY,1,bangla,2,0,0.0,81.5,2,MATCHED_ENGLISH_LEARNING_QUERY,1-4,51+,B,1-4,51+,1,MATCHED_ENGLISH_LEARNING_QUERY,0,EXACT/STRONG,True,NO STATIC UPGRADE
C018,quantum,crunch,https://ovidhan.net/word/crunch.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,78.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,2,EXACT/STRONG,True,NO STATIC UPGRADE
C019,moss,manipulate,https://ovidhan.net/word/manipulate.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,53.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,2,EXACT/STRONG,True,NO STATIC UPGRADE
C020,sneeze,mess,https://ovidhan.net/word/mess.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,62.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,2,EXACT/STRONG,True,NO STATIC UPGRADE
C021,hosted,sinuous,https://ovidhan.net/word/sinuous.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,9.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,4-10,A,1-4,4-10,6,MATCHED_ENGLISH_LEARNING_QUERY,23,WEAK,True,NO STATIC UPGRADE
C022,wide,stroke,https://ovidhan.net/word/stroke.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,54.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,51+,A,1-4,51+,7,MATCHED_ENGLISH_LEARNING_QUERY,26,WEAK,True,NO STATIC UPGRADE
C023,saturday,stalk,https://ovidhan.net/word/stalk.html,B,REVIEW,LEGACY,1,bangla,2,0,0.0,53.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,51+,A,1-4,51+,5,MATCHED_ENGLISH_LEARNING_QUERY,22,WEAK,True,NO STATIC UPGRADE
C024,mercantile,mayhem,https://ovidhan.net/word/mayhem.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,11.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,11-20,B,1-4,11-20,1,MATCHED_ENGLISH_LEARNING_QUERY,0,EXACT/STRONG,True,NO STATIC UPGRADE
C025,february,offset,https://ovidhan.net/word/offset.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,92.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,A,1-4,51+,5,PAGE_ONLY_OR_UNATTRIBUTED,20,ACCEPTABLE,True,NO STATIC UPGRADE
C026,oversee,proprietary,https://ovidhan.net/word/proprietary.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,11.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,11-20,B,1-4,11-20,1,MATCHED_ENGLISH_LEARNING_QUERY,0,EXACT/STRONG,True,NO STATIC UPGRADE
C027,pose,rant,https://ovidhan.net/word/rant.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,58.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,11-20,1,MATCHED_ENGLISH_LEARNING_QUERY,19,ACCEPTABLE,True,NO STATIC UPGRADE
C028,procure,squash,https://ovidhan.net/word/squash.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,69.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,11-20,1,MATCHED_ENGLISH_LEARNING_QUERY,19,ACCEPTABLE,True,NO STATIC UPGRADE
C029,weird,subside,https://ovidhan.net/word/subside.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,42.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,21-50,B,1-4,11-20,1,MATCHED_ENGLISH_LEARNING_QUERY,19,ACCEPTABLE,True,NO STATIC UPGRADE
C030,rod,tear,https://ovidhan.net/word/tear.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,46.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,21-50,B,1-4,11-20,1,PAGE_ONLY_OR_UNATTRIBUTED,14,ACCEPTABLE,True,NO STATIC UPGRADE
C031,labour,amt,https://ovidhan.net/word/amt.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,20.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,11-20,B,1-4,11-20,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C032,loophole,chargers,https://ovidhan.net/word/chargers.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,14.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,11-20,B,1-4,11-20,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C033,mirth,convicted,https://ovidhan.net/word/convicted.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,31.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C034,mutiny,defeated,https://ovidhan.net/word/defeated.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,33.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C035,purge,dundee,https://ovidhan.net/word/dundee.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,27.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C036,sturdy,insurrection,https://ovidhan.net/word/insurrection.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,34.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C037,musk,latex,https://ovidhan.net/word/latex.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,33.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C038,rudimentary,ll,https://ovidhan.net/word/ll.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,36.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C039,tunnel,lucifer,https://ovidhan.net/word/lucifer.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,28.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C040,constellation,manhood,https://ovidhan.net/word/manhood.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,35.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C041,prologue,meddling,https://ovidhan.net/word/meddling.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,21.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C042,quake,mic,https://ovidhan.net/word/mic.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,32.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C043,spectacular,mitochondria,https://ovidhan.net/word/mitochondria.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,45.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C044,integrity,ninety,https://ovidhan.net/word/ninety.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,40.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C045,pedestrian,nutshell,https://ovidhan.net/word/nutshell.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,21.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C046,shout,offended,https://ovidhan.net/word/offended.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,39.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C047,sympathy,opal,https://ovidhan.net/word/opal.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,38.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C048,torch,oratory,https://ovidhan.net/word/oratory.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,35.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C049,wagon,otp,https://ovidhan.net/word/otp.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,37.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C050,vocabulary,climber,https://ovidhan.net/word/climber.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,71.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,51+,B,1-4,51+,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C051,nevertheless,trite,https://ovidhan.net/word/trite.html,C,THIN-LEGACY,LEGACY,1,bangla,2,0,0.0,43.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,21-50,B,1-4,21-50,1,PAGE_ONLY_OR_UNATTRIBUTED,26,WEAK,True,NO STATIC UPGRADE
C052,spine,amc,https://ovidhan.net/word/amc.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,41.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,21-50,B,1-4,21-50,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C053,stab,aust,https://ovidhan.net/word/aust.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,44.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,21-50,B,1-4,21-50,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C054,ultimatum,bailout,https://ovidhan.net/word/bailout.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,31.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,21-50,B,1-4,21-50,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C055,sad,bidet,https://ovidhan.net/word/bidet.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,50.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,21-50,B,1-4,21-50,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C056,slant,bridesmaid,https://ovidhan.net/word/bridesmaid.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,33.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,21-50,B,1-4,21-50,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C057,suppose,carries,https://ovidhan.net/word/carries.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,29.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,21-50,B,1-4,21-50,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C058,deficit,excellency,https://ovidhan.net/word/excellency.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,56.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,51+,B,1-4,51+,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C059,telescope,parked,https://ovidhan.net/word/parked.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,87.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,51+,B,1-4,51+,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C060,shy,snug,https://ovidhan.net/word/snug.html,C,THIN-LEGACY,LEGACY,1,bangla,1,0,0.0,54.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,24,WEAK,True,NO STATIC UPGRADE
C061,friction,activated,https://ovidhan.net/word/activated.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,55.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C062,reckon,aladdin,https://ovidhan.net/word/aladdin.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,66.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C063,velocity,calms,https://ovidhan.net/word/calms.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,62.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C064,lash,demarcation,https://ovidhan.net/word/demarcation.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,71.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C065,nest,demonstrably,https://ovidhan.net/word/demonstrably.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,60.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C066,opportune,dropout,https://ovidhan.net/word/dropout.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,61.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C067,phenomenon,electron,https://ovidhan.net/word/electron.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,65.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C068,reassure,expats,https://ovidhan.net/word/expats.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,94.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C069,recital,ful,https://ovidhan.net/word/ful.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,54.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C070,wash,gusting,https://ovidhan.net/word/gusting.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,52.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C071,wipe,landowner,https://ovidhan.net/word/landowner.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,64.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
C072,withdrawal,layers,https://ovidhan.net/word/layers.html,D,THIN-LEGACY,LEGACY,0,none,1,0,0.0,85.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,B,1-4,51+,1,PAGE_ONLY_OR_UNATTRIBUTED,27,WEAK,True,NO STATIC UPGRADE
